;UF;"População Município 2010
(Sinopse)";População 2010 (Alterações de Limites até 2022);População Censo 2022;diferenca
25;SP;41262199;41262199;44411238;3149039
23;SC;6248436;6248436;7610361;1361925
8;GO;6003788;6001789;7056495;1054706
17;PR;10444526;10444526;11444380;999854
10;MG;19597330;19597330;20539989;942659
12;MT;3035122;3035122;3658649;623527
13;PA;7581051;7581051;8120131;539080
2;AM;3483985;3483985;3941613;457628
5;CE;8452381;8451644;8794957;343313
7;ES;3514952;3514952;3833712;318760
11;MS;2449024;2449024;2757013;307989
15;PE;8796448;8796055;9058931;262876
6;DF;2570160;2572159;2817381;245222
14;PB;3766528;3766528;3974687;208159
9;MA;6574789;6574789;6776699;201910
22;RS;10693929;10693929;10882965;189036
21;RR;450479;450479;636707;186228
16;PI;3118360;3119097;3271199;152102
24;SE;2068017;2067852;2210004;142152
19;RN;3168027;3168027;3302729;134702
26;TO;1383445;1383445;1511460;128015
4;BA;14016906;14017071;14141626;124555
0;AC;733559;733559;830018;96459
18;RJ;15989929;15989929;16055174;65245
3;AP;669526;669526;733759;64233
20;RO;1562409;1562409;1581196;18787
1;AL;3120494;3120887;3127683;6796
